Date,HDFCBANK.NS,ICICIBANK.NS,SBIN.NS,TCS.NS,INFY.NS,HCLTECH.NS,ITC.NS,HINDUNILVR.NS,RELIANCE.NS,LT.NS,^NSEI
2023-06-09,771.1024780273,907.7344970703,548.0729980469,2896.1333007812,1151.7203369141,977.4406738281,376.3452758789,2470.0078125000,1127.7873535156,2274.5561523438,18563.4003906250
2023-06-12,766.4105224609,905.7023925781,548.0256958008,2930.0637207031,1175.3742675781,1003.7756347656,375.0577392578,2476.8005371094,1128.7869873047,2252.3688964844,18601.5000000000
2023-06-13,767.7031250000,913.0568237305,545.8946533203,2927.1767578125,1187.1102294922,996.4210815430,382.3108215332,2507.2048339844,1145.4633789062,2266.2778320312,18716.1503906250
2023-06-14,766.8652954102,909.4281005859,546.0367431641,2933.8090820312,1183.0618896484,1000.4287109375,381.5382995605,2528.6142578125,1159.5496826172,2266.9038085938,18755.9003906250
2023-06-15,757.4336547852,896.6546630859,536.5186157227,2924.0356445312,1170.6890869141,1007.2546997070,384.6284179688,2520.1347656250,1159.8677978516,2272.9196777344,18688.0996093750
2023-06-16,767.3440551758,904.0090332031,541.0172119141,2886.3974609375,1175.1013183594,1011.3063964844,388.9201965332,2544.4489746094,1171.1594238281,2278.2138671875,18826.0000000000
2023-06-19,768.0144042969,893.3161621094,538.7442016602,2918.6718750000,1177.2392578125,1001.9260864258,389.3493041992,2534.6250000000,1159.5268554688,2277.7807617188,18755.4492187500
2023-06-20,769.6182861328,895.6386108398,537.3710327148,2934.4003906250,1185.7910156250,1029.3183593750,388.7055664062,2527.8710937500,1161.9351806641,2292.8452148438,18816.6992187500
2023-06-21,783.0716552734,894.8160400391,536.3765258789,2962.1284179688,1182.1064453125,1030.9036865234,383.7271423340,2528.3432617188,1165.2067871094,2304.8291015625,18856.8496093750
2023-06-22,786.9017944336,895.8321533203,533.1564941406,2944.2189941406,1165.9128417969,1024.6942138672,384.2421569824,2507.3259277344,1152.1201171875,2325.8132324219,18771.2500000000
2023-06-23,786.8539428711,893.6547851562,525.2484130859,2924.0817871094,1150.8560791016,1026.2355957031,381.7528991699,2495.2822265625,1142.6916503906,2300.1123046875,18665.5000000000
2023-06-26,783.0476684570,897.4772338867,527.5687255859,2899.8073730469,1155.7233886719,1028.3054199219,382.5683288574,2505.2004394531,1133.9670410156,2288.5615234375,18691.1992187500
2023-06-27,794.0833129883,905.8475952148,536.1397705078,2906.8081054688,1163.7292480469,1030.5075683594,382.0533142090,2504.4919433594,1134.3762207031,2298.6687011719,18817.4003906250
2023-06-28,802.4856567383,907.1539916992,539.6439819336,2923.2629394531,1176.6478271484,1030.7275390625,385.7013244629,2513.8437500000,1149.3939208984,2330.8186035156,18972.0996093750
2023-06-30,814.5745239258,904.3961181641,542.5325317383,3002.1760253906,1214.9946289062,1046.3172607422,387.6326599121,2529.8073730469,1158.8226318359,2382.8935546875,19189.0507812500
2023-07-03,823.3838500977,912.0891113281,554.4657592773,2974.9472656250,1213.3569335938,1040.7244873047,397.6324462891,2551.4389648438,1188.5628662109,2362.1982421875,19322.5507812500
2023-07-04,827.4055175781,914.1696777344,558.0645751953,3008.1760253906,1223.7736816406,1048.6511230469,400.2933349609,2550.4475097656,1176.3168945312,2369.7065429688,19389.0000000000
2023-07-05,801.1210937500,927.0399169922,559.3431396484,3018.2678222656,1225.7299804688,1052.3503417969,407.8039245605,2603.2036132812,1174.3857421875,2378.3212890625,19398.5000000000
